popln,age,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
2,4,0.1725,0.1406,0.1505,0.2999,0.4939,0.3707,0.4686,0.3043,0.2824,0.2537,0.3791,0.2746,0.2173,0.3674,0.2207,0.1449,0.1896,0.2785,0.2693,0.2221,0.2924,0.1717,0.2833,0.4723,0.2514,0.508,0.6813,0.6232,1.0978,0.7821,0.4914,0.5839,0.5236,0.5379,0.44,
2,5,0.1573,0.1493,0.1878,0.2425,0.5251,0.471,0.561,0.3626,0.2805,0.2921,0.4356,0.3009,0.2269,0.3593,0.1504,0.1886,0.2203,0.4219,0.2232,0.1973,0.2957,0.2851,0.2349,0.3784,0.425,0.4426,0.4891,0.7041,1.3469,0.8732,0.4779,0.7551,0.6247,0.4948,0.4088,
2,6,0.142,0.211,0.2265,0.2924,0.4492,0.6109,0.5452,0.3951,0.2384,0.3312,0.3718,0.427,0.2823,0.3312,0.2147,0.2112,0.178,0.3326,0.3111,0.1953,0.2564,0.328,0.3093,0.3786,0.352,0.5654,0.6763,0.5503,1.2203,0.9561,0.3814,1.0045,0.8025,0.5779,0.5483,
2,7,0.162,0.1864,0.3277,0.2965,0.4007,0.5389,0.6031,0.3511,0.2623,0.3596,0.4425,0.2517,0.2097,0.3524,0.1528,0.2099,0.2155,0.4155,0.2221,0.2486,0.2997,0.2719,0.2287,0.4574,0.3897,0.219,0.5555,0.8713,1.2472,0.7871,0.4069,0.5295,0.5513,0.4255,0.351,
2,8,0.1802,0.1613,0.3055,0.222,0.5541,0.6305,0.6537,0.2739,0.3646,0.4198,0.4801,0.2778,0.3519,0.2356,0.1511,0.2633,0.1654,0.3333,0.1189,0.1824,0.1082,0.3116,0.2115,0.2946,0.3604,0.743,0.8758,0.4221,0.9971,0.8335,0.4593,0.6728,0.8379,0.3301,0.2999,
2,9,0.1802,0.1613,0.3055,0.222,0.5541,0.6305,0.6537,0.2739,0.3646,0.4198,0.4801,0.2778,0.3519,0.2356,0.1511,0.2633,0.1654,0.3333,0.1189,0.1824,0.1082,0.3116,0.2115,0.2946,0.3604,0.743,0.8758,0.4221,0.9971,0.8335,0.4593,0.6728,0.8379,0.3301,0.2999,
3,1,0.0186,0.0393,0.1666,0.1044,0.2143,0.1527,0.2304,0.1594,0.1049,0.1464,0.0646,0.04,0.0376,0.0094,0.0149,0.0273,0.0437,0.0137,0.0396,0.0128,0.0333,0.0487,0.1033,0.0164,0.0158,0.0399,0.0759,0.1246,0.0243,0.0483,0.0096,0.0347,0.0179,0.0222,0.0128,0.0168
3,2,0.3031,0.581,0.3626,0.3452,0.826,0.7539,0.7961,0.8624,0.5435,0.7682,1.1264,0.4414,0.2966,0.2004,0.1294,0.2951,0.4195,0.2958,0.3005,0.2188,0.3318,0.3318,0.4147,0.3024,0.4359,0.4162,0.5765,0.9626,0.3982,0.3127,0.1705,0.6146,0.3182,0.3943,0.2268,0.2982
3,3,0.3855,0.6261,0.5285,0.6169,1.0189,0.9102,0.9816,1.0066,0.9379,0.8915,1.4084,0.4156,0.2983,0.1695,0.1866,0.4528,0.3978,0.3166,0.6051,0.2959,0.3316,0.3103,0.4315,0.3428,0.4741,0.4183,0.3642,0.5708,0.4833,0.3792,0.2137,0.7703,0.3988,0.4941,0.2842,0.3737
3,4,0.5593,0.6518,0.5451,0.4265,1.0144,0.837,1.1117,1.0091,0.9386,0.8624,0.9449,0.7392,0.5172,0.2253,0.1597,0.575,0.4004,0.2605,0.702,0.4208,0.3904,0.2576,0.5451,0.3313,0.3418,0.3668,0.2328,0.4863,0.7521,0.3476,0.2284,0.8233,0.4262,0.5281,0.3038,0.3994
3,5,0.7811,0.2951,0.6442,0.5456,0.7836,0.978,0.944,1.107,0.6889,0.818,1.2136,0.6355,0.1552,0.1689,0.2483,0.4435,0.3471,0.3096,0.7009,0.3504,0.5821,0.323,0.4661,0.4276,0.4602,0.3506,0.4077,0.5257,0.9855,0.5312,0.1895,0.6829,0.3536,0.4381,0.252,0.3313
3,6,0.541,0.4607,0.7016,0.4606,0.8601,0.7336,1.0622,0.8071,1.0897,1.0764,0.8638,0.5762,0.6417,0.317,0.1907,0.4638,0.3202,0.3303,0.6663,0.3659,0.5277,0.4503,0.5534,0.3914,0.5567,0.3435,0.3593,0.434,0.6526,0.8071,0.1713,0.6173,0.3196,0.396,0.2278,0.2995
3,7,0.6081,0.6139,0.6616,0.5641,1.0603,0.9954,1.1564,1.1302,0.9906,1.0532,1.3149,0.6618,0.4552,0.2602,0.2172,0.5215,0.4466,0.3618,0.697,0.3881,0.519,0.4047,0.5723,0.428,0.546,0.4504,0.473,0.7197,0.7721,0.5777,0.2284,0.8233,0.4262,0.5281,0.3038,0.3994
3,8,0.6081,0.6139,0.6616,0.5641,1.0603,0.9954,1.1564,1.1302,0.9906,1.0532,1.3149,0.6618,0.4552,0.2602,0.2172,0.5215,0.4466,0.3618,0.697,0.3881,0.519,0.4047,0.5723,0.428,0.546,0.4504,0.473,0.7197,0.7721,0.5777,0.2284,0.8233,0.4262,0.5281,0.3038,0.3994
3,9,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
4,1,0.0086,0.0231,0.0495,0.1232,0.0649,0.1398,0.1056,0.0765,0.0331,0.078,0.08,0.1622,0.0371,0.0295,0.0555,0.0488,0.0123,0.0092,0.0086,0.0252,0.0096,0.0163,0.0187,0.0078,0.0273,0.0223,0.0166,0.0157,0.038,0.0629,0.0443,0.0263,0.016,0.0456,0.0299,0.0206
4,2,0.3019,0.3591,0.6871,0.6008,0.6374,0.4638,0.3022,0.2342,0.2999,0.4,0.5538,0.6688,0.479,0.6882,0.5184,0.4005,0.3756,0.4974,0.288,0.3742,0.2943,0.5886,0.5986,0.4092,0.4226,0.441,0.3459,0.4386,0.4111,0.5898,0.6538,0.388,0.2368,0.6735,0.4416,0.3044
4,3,0.4644,0.6087,0.5545,0.7292,0.6529,0.6518,0.4463,0.4337,0.3915,0.5383,0.7594,1.165,0.7025,0.6927,0.7172,0.4204,0.6464,0.5888,0.4859,0.4431,0.4154,0.5173,0.8349,0.4653,0.5575,0.5585,0.4245,0.6066,0.7181,0.8363,0.9272,0.5502,0.3357,0.955,0.6262,0.4317
4,4,0.5754,0.857,0.5336,0.4163,0.7078,0.6159,0.5518,0.6447,0.5288,0.5171,0.584,0.9774,0.849,0.5814,1.1776,0.6515,0.8037,0.8425,0.2295,0.62,0.409,0.5318,0.8394,0.5922,0.2786,0.7248,0.3679,0.7061,0.7326,1.0853,1.0108,0.5998,0.366,1.0411,0.6826,0.4707
4,5,0.6076,0.9345,0.7344,0.6429,0.4214,0.6073,0.4604,0.204,0.3569,0.5085,0.2799,0.8901,0.6917,0.8471,1.0773,0.4447,0.8114,0.8981,0.4776,0.2861,0.5,0.5964,0.6248,0.2714,0.3077,0.5062,0.7311,0.7199,0.6453,1.06,1.2275,0.7284,0.4445,1.2644,0.829,0.5716
4,6,0.5139,0.7212,0.5523,0.579,0.4886,0.6569,0.674,0.5564,0.265,0.5014,0.8152,0.5712,1.123,0.2764,1.9075,0.2238,0.3606,0.5588,0.4207,0.5711,0.1864,0.5619,0.8485,0.3073,0.4551,0.5963,0.5281,0.6057,0.7437,1.1157,1.3278,0.7879,0.4808,1.3677,0.8967,0.6183
4,7,0.4119,0.5179,0.4121,0.8828,0.6627,0.3662,0.8592,0.2647,0.2674,0.3443,1.0342,0.6984,0.5344,0.6029,0.5172,0.6956,0.127,0.6909,0.3082,0.6736,0.4636,0.1671,0.7264,0.665,0.28,0.4367,0.5414,0.5533,0.5126,0.9324,1.409,0.8361,0.5102,1.4513,0.9516,0.6561
4,8,0.4182,0.5757,0.5383,0.5723,0.5503,0.5055,0.4608,0.3457,0.3221,0.4234,0.5903,0.7568,0.6365,0.5719,0.8365,0.4227,0.4774,0.5984,0.327,0.4334,0.3368,0.4654,0.666,0.4077,0.3578,0.4891,0.4216,0.5345,0.5528,0.8103,0.9272,0.5502,0.3357,0.955,0.6262,0.4317
4,9,0.4182,0.5757,0.5383,0.5723,0.5503,0.5055,0.4608,0.3457,0.3221,0.4234,0.5903,0.7568,0.6365,0.5719,0.8365,0.4227,0.4774,0.5984,0.327,0.4334,0.3368,0.4654,0.666,0.4077,0.3578,0.4891,0.4216,0.5345,0.5528,0.8103,0.9272,0.5502,0.3357,0.955,0.6262,0.4317
